Rk,Player,Tm,Age,Pos,GP,GS,Pnt,Pnt_Yds,Y/P,Pnt_RetYds,Net,NY/P,Pnt_Lng,Pnt_TB,Pnt_TB%,In20,In20%,Blck,-9999
1,Corliss Waitman,DEN,27,P,17,0,96,4470,46.6,376,3974,41.4,59,6,6.30%,30,31.30%,0,WaitCo00
2,Ryan Stonehouse,TEN,23,P,17,0,90,4779,53.1,692,3907,43.4,74,9,10.00%,30,33.30%,0,StonRy00
3,Cameron Johnston,HOU,30,P,17,0,88,4229,48.1,414,3735,42.4,67,4,4.50%,37,42.00%,0,JohnCa02
4,Braden Mann,NYJ,25,P,17,0,83,3889,46.9,363,3386,40.8,72,8,9.60%,27,32.50%,0,MannBr01
5,Tress Way*,WAS,32,P,17,0,83,3885,46.8,212,3567,43,68,5,6.00%,37,44.60%,0,WayxTr00
6,Johnny Hekker,CAR,32,P,17,0,81,3925,48.5,246,3579,44.2,68,6,7.40%,39,48.10%,0,HekkJo00
7,Jake Camarda,TAM,23,P,17,0,79,3859,48.8,386,3273,41.4,74,10,12.70%,22,27.80%,0,CamaJa00
8,Blake Gillikin,NOR,24,P,17,0,77,3571,46.4,240,3191,41.4,68,7,9.10%,32,41.60%,0,GillBl00
9,Jamie Gillan,NYG,25,P,17,0,74,3463,46.8,347,2975,40.2,69,9,12.20%,26,35.10%,1,GillJa00
10,JK Scott,LAC,27,P,17,0,73,3186,43.6,66,3000,41.1,60,5,6.80%,28,38.40%,0,ScotJK00
11,Ryan Wright,MIN,22,P,17,0,73,3457,47.4,305,3132,42.9,73,1,1.40%,32,43.80%,1,WrigRy00
12,Riley Dixon,LAR,29,P,17,0,71,3434,48.4,390,2964,41.7,67,4,5.60%,19,26.80%,2,DixoRi00
13,Matt Haack,IND,28,P,17,0,70,3133,44.8,258,2811,40.2,70,3,4.30%,28,40.00%,1,HaacMa00
14,Pressley Harvin III,PIT,24,P,17,0,69,3072,44.5,137,2835,41.1,69,5,7.20%,20,29.00%,0,HarvPr00
15,Bryan Anger,DAL,34,P,17,0,68,3291,48.4,280,2891,42.5,83,6,8.80%,27,39.70%,0,AngeBr00
16,Andy Lee,ARI,40,P,17,0,67,3157,47.1,345,2732,40.8,65,4,6.00%,18,26.90%,1,LeexAn20
17,Michael Dickson,SEA,26,P,17,0,66,3199,48.5,215,2924,44.3,68,3,4.50%,22,33.30%,0,DickMi00
18,Trenton Gill,CHI,23,P,17,0,66,3038,46,362,2616,39.6,63,3,4.50%,20,30.30%,1,GillTr01
19,Bradley Pinion,ATL,28,P,17,0,62,2845,45.9,250,2555,41.2,73,2,3.20%,23,37.10%,0,PiniBr00
20,Corey Bojorquez,CLE,26,P,17,0,61,2959,48.5,348,2471,40.5,76,7,11.50%,23,37.70%,0,BojoCo00
21,Thomas Morstead,MIA,36,P,17,0,61,2828,46.4,305,2471,40.5,66,2,3.30%,28,45.90%,0,MorsTh00
22,Mitch Wishnowsky,SFO,30,P,17,0,61,2676,43.9,192,2384,39.1,74,5,8.20%,32,52.50%,0,WishMi00
23,AJ Cole III*,LVR,27,P,17,0,59,2884,48.9,281,2583,43.8,67,1,1.70%,26,44.10%,0,ColeAJ01
24,Logan Cooke,JAX,27,P,17,0,58,2862,49.3,203,2539,43.8,70,6,10.30%,24,41.40%,0,CookLo00
25,Jordan Stout,BAL,24,P,17,0,57,2618,45.9,155,2288,40.1,69,7,12.30%,26,45.60%,0,StouJo00
26,Tommy Townsend*+,KAN,26,P,17,0,53,2672,50.4,176,2416,45.6,76,4,7.50%,22,41.50%,0,TownTo01
27,Jack Fox,DET,26,P,17,0,52,2525,48.6,324,2141,41.2,66,3,5.80%,14,26.90%,0,FoxxJa01
28,Pat O'Donnell,GNB,31,P,17,0,52,2313,44.5,215,2078,40,72,1,1.90%,24,46.20%,2,ODonPa00
29,Sam Martin,BUF,32,P,16,0,45,2146,47.7,151,1895,42.1,67,5,11.10%,16,35.60%,1,MartSa01
30,Arryn Siposs,PHI,30,P,13,0,44,2005,45.6,208,1737,39.5,59,3,6.80%,16,36.40%,1,SipoAr01
31,Michael Palardy,NWE,30,P,8,0,42,1781,42.4,122,1559,37.1,58,5,11.90%,10,23.80%,1,PalaMi00
32,Jake Bailey,NWE,25,P,9,0,37,1557,42.1,155,1302,35.2,62,5,13.50%,12,32.40%,0,BailJa00
33,Kevin Huber,CIN,37,P,9,0,31,1340,43.2,160,1160,37.4,63,1,3.20%,9,29.00%,0,HubeKe20
34,Drue Chrisman,CIN,25,P,7,0,28,1338,47.8,106,1192,42.6,65,2,7.10%,13,46.40%,0,ChriDr00
35,Brett Kern,PHI,36,P,4,0,10,408,40.8,42,366,36.6,53,0,0.00%,1,10.00%,0,KernBr20
36,Jake Elliott,PHI,27,K,16,0,1,35,35,0,35,35,35,0,0.00%,0,0.00%,0,ElliJa03
